id	biome	feature	material	environment_package	location	seq_counts	rel_seq_count
4440984.3	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	384335	3
4441020.3	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	567362	10
4441021.3	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	637897	4
4441022.3	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	602944	5
4441025.3	marine habitat	marine habitat	marine habitat	water	Ionian Km3 station	142114	0
4441026.3	unknown	unknown	unknown	unknown	unknown	73359	0
4441041.3	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	168963	0
4441050.3	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	water	crystallizer pond CR30 in the multi-pond saltern "Bras del Port" located in Santa Pola	52013	1
4441051.3	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	161296	1
4441055.3	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	131984	0
4441056.3	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	237343	2
4441057.3	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	188768	2
4441057.4	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	232983	1
4441062.3	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	253394	1
4441091.3	soil	soil	soil	soil	Farm in Waseca County, Minnesota.	101061	2
4441092.3	sludge	sludge	sludge	unknown	Thornside Sewage Treatment Plant	883897	105
4441093.3	sludge	sludge	sludge	unknown	Nine Springs Wastwater Treatment Plant, Madison, WI	2206899	209
4441095.3	hot spring	hot spring	hot spring	water	Yellowstone Natl Park	130655	297
4441096.3	hot spring	hot spring	hot spring	water	Yellowstone Natl Park	355547	659
4441102.3	hydrothermal vent	hydrothermal vent	hydrothermal vent	water	Black smoker chimneys on East Pacific Rise	5276647	13
4441121.3	marine habitat	marine habitat	marine habitat	water	Polynesia Archipelagos - Tikehau Lagoon	10517	0
4441124.3	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	10966	0
4441125.3	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	10730	0
4441126.3	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	10247	0
4441127.3	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	10917	0
4441128.3	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	10902	0
4441129.3	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific - 600 miles from F. Polynesia	9956	0
4441130.3	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific - 400 miles from F. Polynesia	11073	0
4441131.3	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific - 300 miles from F. Polynesia	9495	0
4441132.3	marine habitat	marine habitat	marine habitat	water	Chesapeake Bay, MD	162980	1
4441133.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - Coccos Keeling, Inside Lagoon	966005	5
4441134.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean	967333	6
4441135.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - Madagascar Waters	830484	3
4441136.3	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	11964	0
4441137.3	mine drainage	mine drainage	mine drainage	unknown	Richmond Mine, Iron Mountain, CA	3900042	7630
